question,document
"I just found this course — can I still join it now, or is it too late?",74eb249bbf
"If I join late, can I still get the certificate somehow?",74eb249bbf
Do I need to submit the project before submissions close to be eligible for the certificate?,74eb249bbf
Is it okay to start the course after it has already begun?,74eb249bbf
What’s the deadline for getting a certificate if I discover the course late?,74eb249bbf
"Do I need to wait for a confirmation email after signing up for LLM Zoomcamp, or can I just start the course?",977bf7786c
"I registered for the LLM Zoomcamp — is there supposed to be some acceptance email, or am I already in?",977bf7786c
Can I begin watching the lessons and submitting homework even if I never got any registration email back?,977bf7786c
"Is registration for the LLM Zoomcamp actually required, or is it just for showing interest before the course starts?",977bf7786c
"Will homework submissions be checked against a list of registered students, or can anyone submit while the form is open?",977bf7786c
How do I join the Office Hours or live workshop if I’m a student and the Zoom link isn’t shared publicly?,489dd1c9d9
Where should I look for the live stream link before an Office Hours session starts?,489dd1c9d9
Can students watch the workshop live on YouTube instead of using Zoom?,489dd1c9d9
Where do I submit questions during the live session if I shouldn’t post them in chat?,489dd1c9d9
"Who actually gets the Zoom link for these live sessions, and what should students use instead?",489dd1c9d9
Where do I find the main docs and GitHub repo to begin LLM Zoomcamp?,04919992b3
"Can I start the course at any time, or is there a fixed start date?",04919992b3
What’s the usual weekly routine for watching lessons and doing homework in this course?,04919992b3
Where are the homework deadlines posted and how do I submit my answers?,04919992b3
"Is the homework basically the same as the lesson notebooks, or does it use different tasks?",04919992b3
How do I find my own entry on the leaderboard if I can't spot my name anywhere?,c2903069a0
"Why does the leaderboard show a random name for me, and can I change it to something else?",c2903069a0
Where can I check what my display name is in the course profile?,c2903069a0
What should I put in the profile fields if I want a different nickname and the right name on my certificate?,c2903069a0
"If I leave the default random name, will that name end up on my certificate too?",c2903069a0
"Can I take the course at my own pace and still get a certificate, or is that only for the live cohort?",69d122f12e
"If I finish all the materials in self-paced mode, do I get any certificate at the end?",69d122f12e
Why don’t you give certificates for people who study the course after it’s over?,69d122f12e
Do I need to be in the active course run to do the required peer reviews for the capstone project?,69d122f12e
Is it possible to get a certificate later once the peer-review form is closed and the project review list is already set?,69d122f12e
Can I still get the certificate if I missed the first homework?,9f689c185f
Do I actually have to do the homework to earn the course certificate?,9f689c185f
What do I need to pass in order to get the certificate for this course?,9f689c185f
"Is homework mandatory for certification, or is it just recommended?",9f689c185f
"If homework isn't required, what is it for and does it affect my score?",9f689c185f
Why does the homework content keep changing before the deadline?,96286b4be4
What does [DRAFT] in the homework title mean?,96286b4be4
When can I be sure the homework is actually ready to do?,96286b4be4
Is it safe to start working on homework if it still says [DRAFT]?,96286b4be4
Can the homework still change even if it is already visible on the course platform?,96286b4be4
When is the next time this course will be offered?,bd31146b0e
Do you know when the next course session starts?,bd31146b0e
What’s the upcoming offering date for this course?,bd31146b0e
When can I expect this course to run again?,bd31146b0e
Is the next course run scheduled for summer 2027?,bd31146b0e
Where do I find the course videos if I’m looking for a specific lesson?,31456f4b5f
Is there a main page or repo I should use to start with for the lectures?,31456f4b5f
Why does the YouTube playlist seem less reliable than the course repo?,31456f4b5f
Do the lesson folders on GitHub include links to the videos for that class?,31456f4b5f
"If I’m confused about where a lecture is, should I check GitHub first or YouTube?",31456f4b5f
Where should I go to see the LLM Zoomcamp syllabus and keep track of deadlines?,20c5a1347e
Is there a course page for checking homework and my progress in LLM Zoomcamp?,20c5a1347e
How do I follow the current cohort structure for LLM Zoomcamp?,20c5a1347e
What platform does LLM Zoomcamp use for homework deadlines and progress tracking?,20c5a1347e
Does LLM Zoomcamp have the same course management system as the other DataTalks.Club Zoomcamps?,20c5a1347e
"Do we get live classes or office hours for every module, or is everything just recorded?",d65e05bd7a
When are the live sessions for this course usually announced?,d65e05bd7a
"If I’m stuck on a module, where should I ask for help instead of waiting for office hours?",d65e05bd7a
Is there any paid option that gives regular Zoom office hours and more support?,d65e05bd7a
"Are the extra support sessions included in the free course, or do they cost money?",d65e05bd7a
Can I count my Bluesky posts toward learning in public credits?,dbf5369006
Are Bluesky updates eligible for the learning in public requirement?,dbf5369006
Will posts on Bluesky be accepted as learning in public credit?,dbf5369006
Can I use Bluesky activity to fulfill the public learning credits?,dbf5369006
Does the course allow Bluesky posts for learning in public credits?,dbf5369006
What’s the Telegram link for the LLM Zoomcamp channel?,054f3fd58f
Where can I find the LLM Zoomcamp Telegram group?,054f3fd58f
"Is there a Telegram channel for LLM Zoomcamp, and what is it used for?",054f3fd58f
Do announcements for the course go through Telegram or Slack?,054f3fd58f
Where should I ask technical questions for LLM Zoomcamp?,054f3fd58f
Why does my FAQ dataset have a different number of rows than the one shown in the videos?,e2d595f23c
"Is the FAQ data in the course fixed, or does it change over time?",e2d595f23c
Why do I get more or fewer records when I run the FAQ loading code than what the lecture shows?,e2d595f23c
"Did the instructors use a snapshot of the FAQ dataset, or is it pulled live?",e2d595f23c
How can the FAQ record count be different now if the video showed another number?,e2d595f23c
Can I still send in my homework if the deadline is already over but the submission form is still open?,a9353fadfe
"The due date passed, but the form is open — does that mean I can still submit my answers?",a9353fadfe
Is it okay to submit after the deadline as long as the homework form hasn’t been closed yet?,a9353fadfe
When does homework submission actually stop: at the deadline or only after the form is closed?,a9353fadfe
"I missed the listed deadline, but the form is still available. Can I use it to turn in my work?",a9353fadfe
Can I still turn in homework after the deadline has passed if the submission form is still open?,cdc3b285e5
Do you ever give one-on-one deadline extensions for homework in this course?,cdc3b285e5
What happens if I miss a homework assignment — does it affect my certificate?,cdc3b285e5
Are late homework submissions accepted once the homework form is already closed?,cdc3b285e5
"Do homework grades matter for the certificate, or are they only used for the leaderboard?",cdc3b285e5
Will the name I enter for my certificate be visible on the public leaderboard or anywhere online?,651ba06b34
"Does the certificate name get shared with third parties, or is it only printed on the certificate itself?",651ba06b34
"What name shows up publicly in the course leaderboard, and how is it different from the certificate name?",651ba06b34
Where do I change the nickname for the leaderboard and the official name for the certificate?,651ba06b34
Can I keep my real name private on the leaderboard but still have it on my certificate?,651ba06b34
Why don’t we use LangChain in the course right away?,b7cdde6b25
What is LangChain actually for in LLM apps?,b7cdde6b25
"Why build prompting, retrieval, indexing, and evaluation manually first?",b7cdde6b25
Is it better to learn the basics before using a framework like LangChain?,b7cdde6b25
What’s the reason for skipping frameworks until later in the RAG module?,b7cdde6b25
Why do I get an OpenAI API error about insufficient credits when I run responses.create?,f5df151c59
I’m trying the OpenAI responses.create command and it fails with an Insufficient credits message — what does that mean?,f5df151c59
What causes the OpenAI API Error: Insufficient credits when using responses.create in the RAG module?,f5df151c59
How can I fix the error I see from OpenAI responses.create that says my credits are insufficient?,f5df151c59
Is the responses.create failure in Module 1 caused by my OpenAI account running out of credits?,f5df151c59
Why am I getting a 429 RateLimitError from OpenAI saying I exceeded my current quota?,152af39a53
How do I fix the OpenAI API insufficient_quota error in this RAG homework?,152af39a53
Do I need to add credits to my OpenAI account before calling responses.create()?,152af39a53
Which OpenAI model should I use if gpt-4o isn’t available on my account?,152af39a53
"After adding billing credits, do I need to make a new API key for the request to work?",152af39a53
How much does it usually cost to use the OpenAI API for this course?,554d0eb78b
Do I need to spend a lot of money to work with the OpenAI API in the RAG module?,554d0eb78b
What is the minimum amount I can add to my OpenAI API account?,554d0eb78b
Is $5 enough to get started with the OpenAI API for the course?,554d0eb78b
About how much does initial usage of the OpenAI API usually cost?,554d0eb78b
Do I need to pay for the OpenAI API to finish the homework in this course?,85384a18e5
"Is an OpenAI subscription required for the assignments, or are there free options I can use instead?",85384a18e5
Can I complete the course without buying API credits from OpenAI?,85384a18e5
What are some cheaper or free alternatives to the OpenAI API for this course?,85384a18e5
Where can I find the list of OpenAI API alternatives recommended in the course repo?,85384a18e5
Why does the course recommend uv over using pip and virtualenv separately?,f81dea8f7e
What makes uv better or easier than the usual Python setup tools?,f81dea8f7e
"Do I have to use uv for the course, or can I stick with pip and virtualenv?",f81dea8f7e
"How does uv simplify managing environments, dependencies, and Python versions?",f81dea8f7e
"Is uv just for installing packages, or does it replace other tools too?",f81dea8f7e
Why does my Jupyter notebook say OPENAI_API_KEY is missing even though I added it to .env?,86d99bbf21
Do I need python-dotenv for loading OPENAI_API_KEY in the notebook?,86d99bbf21
Where should I call load_dotenv() before creating the OpenAI client?,86d99bbf21
What’s the right way to make Jupyter see my API key from the .env file?,86d99bbf21
Could the problem be that my variable name isn’t exactly OPENAI_API_KEY?,86d99bbf21
How do I keep my API keys in a .env file and load them in Python?,233dabe430
What’s the easiest way to read OPENAI_API_KEY or GROQ_API_KEY from a .env file?,233dabe430
Do I need to install anything special to use environment variables from .env in this course?,233dabe430
How should I set up .gitignore so my API keys don’t get pushed to GitHub?,233dabe430
Can you show a quick example of saving keys in .env and getting them with os.getenv()?,233dabe430
"Can I swap the homework model for a different LLM provider, or do I have to use the recommended one?",ee43413718
What other providers are allowed for the RAG homework besides the suggested model?,ee43413718
"Do I need a paid API account to complete the assignment, or can I use free/local options?",ee43413718
"If I use Gemini, Groq, OpenRouter, or Azure OpenAI, will I need to change the code?",ee43413718
Where can I find a list of OpenAI alternatives for this course?,ee43413718
How can I set up Gemini in the Module 1 notebook if I want to use the OpenAI-compatible API instead of the usual OpenAI endpoint?,0ae5c221b9
What do I need in my `.env` file to make Google Gemini work with the course notebook?,0ae5c221b9
Is there a code example for creating an OpenAI client that talks to Gemini through Google's compatible base URL?,0ae5c221b9
Which Gemini model name should I pass when calling the helper function in the notebook?,0ae5c221b9
"If the notebook examples use the Responses API, what changes are needed when switching to chat completions with Gemini?",0ae5c221b9
"How do I install Ollama on macOS, Windows, or Linux?",1d0b969028
"After installing Ollama, what command should I run to download and start Llama 3 locally?",1d0b969028
How can I check that the Ollama server is actually running on my machine?,1d0b969028
What’s the easiest way to install the Ollama Python package for use in a script?,1d0b969028
Can you show a minimal Python example that sends a prompt to Ollama and prints the model reply?,1d0b969028
"Why am I getting a connection refused error when I try to prompt Ollama in the RAG homework, and how do I fix it?",c6fc2d4d11
